ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,date_stamp
ECIA,ENCISION INC,otc,us,OTC Link,CS,True,USD,,BBG000MCTDT7,BBG001SFTCX9,2025-07-01T06:57:43.202Z,2025-11-06
ECLMF,ECOLOMONDO CORP,otc,us,OTC Link,OS,True,USD,,BBG00J413WR8,BBG00BYH9BQ8,2025-07-16T18:14:46.674Z,2025-11-06
ECLP,ECLIPSE BANCORP INC,otc,us,OTC Link,CS,True,USD,,BBG01C67R509,BBG01C67R5V5,2025-05-19T16:58:37.081Z,2025-11-06
ECMH,ENCOMPASS HLDGS INC,otc,us,OTC Link,CS,True,USD,,BBG000KZW8Q8,BBG001SD4S66,2023-10-11T21:27:50.759Z,2025-11-06
ECMLF,ECOMETALS LTD ORD,otc,us,OTC Link,OS,True,USD,,,,2021-11-10T06:00:48.346Z,2025-11-06
ECMPF,EUROCOMMERCIAL PPTYS N V,otc,us,OTC Link,OTHER,True,USD,,,,2023-10-23T06:41:06.652Z,2025-11-06
ECNCF,ECN CAPITAL CORP ORD,otc,us,OTC Link,OS,True,USD,,BBG00F0G50N9,BBG00DY77TR8,2025-07-01T07:00:30.429Z,2025-11-06
ECNLF,AQUAFIL SPA,otc,us,OTC Link,OS,True,USD,,,,2025-09-09T18:20:22.313Z,2025-11-06
ECNNF,ECN CAPITAL CP PFD C 5YR,otc,us,OTC Link,PFD,True,USD,,,,2025-07-08T22:06:12.391Z,2025-11-06
ECORF,ELCORA ADVANCED MATERIALS,otc,us,OTC Link,OS,True,USD,,BBG00BFN02G6,BBG002Q8MH52,2025-07-01T06:58:33.011Z,2025-11-06
ECOX,ECO INNOVATION GRP INC,otc,us,OTC Link,CS,True,USD,,BBG000PZ5K59,BBG001T65881,2025-09-11T06:57:24.236Z,2025-11-06
ECPL,ECOPLUS INC,otc,us,OTC Link,CS,True,USD,,BBG000Q0BN16,BBG001SRL6N5,2025-07-01T06:59:29.6Z,2025-11-06
ECPN,EL CAPTN PRECIOUS MTL INC,otc,us,OTC Link,CS,True,USD,,BBG000BZG207,BBG001SFL1R8,2025-02-20T20:53:55.132Z,2025-11-06
ECRAF,ECORA RESOURCES PLC,otc,us,OTC Link,OS,True,USD,,,,2025-07-17T18:32:05.469Z,2025-11-06
ECRBF,ERCROS SA,otc,us,OTC Link,OS,True,USD,,,,2025-07-29T06:57:24.6Z,2025-11-06
